lon,lat,mean_skt,min_skt,mean_wind,max_wind
2.0,-44.0,9.451055,6.6890564,9.6661825,19.434431
2.0,-43.0,10.039405,7.4129333,9.322267,19.041435
2.0,-42.0,10.597854,7.9174805,8.948577,19.078941
2.0,-41.0,11.336927,8.381256,8.569442,19.010454
2.0,-40.0,12.213218,8.785919,8.17483,18.871601
2.0,-39.0,13.59554,9.915375,7.8955503,18.59462
2.0,-38.0,14.985486,11.079163,7.62747,18.033371
2.0,-37.0,15.895561,12.212219,7.243316,17.793434
2.0,-36.0,16.610184,12.615295,6.84497,18.409039
2.0,-35.0,17.374393,13.66745,6.5054865,17.560396
2.0,-34.0,18.108002,14.024109,6.210139,16.936283
2.0,-33.0,18.623785,14.906982,5.939544,16.415247
2.0,-32.0,19.01464,15.61618,5.7113724,15.525052
2.0,-31.0,19.298256,15.99234,5.554173,15.634362
2.0,-30.0,19.575497,16.045532,5.526746,15.098204
2.0,-29.0,19.849653,16.279236,5.613053,13.93992
2.0,-28.0,20.03597,16.39212,5.750796,13.456284
2.0,-27.0,20.175814,16.654846,5.959626,13.613101
2.0,-26.0,20.304892,17.036316,6.2047186,14.09459
2.0,-25.0,20.434183,17.203705,6.4600534,14.530242
2.0,-24.0,20.512861,16.995453,6.7092543,14.721886
2.0,-23.0,20.606976,16.972076,6.924768,14.667064
2.0,-22.0,20.715115,17.211487,7.092613,14.675546
2.0,-21.0,20.82058,17.221222,7.2039475,14.650097
2.0,-20.0,20.912682,17.145294,7.253123,14.509998
2.0,-19.0,21.052092,17.312683,7.2671695,14.4065075
2.0,-18.0,21.207699,17.283478,7.2280803,14.400603
2.0,-17.0,21.332592,17.184235,7.1303644,14.101487
2.0,-16.0,21.546621,17.308807,7.000098,13.475334
2.0,-15.0,21.866459,17.522888,6.8634987,12.806496
2.0,-14.0,22.309296,17.733063,6.7101665,12.59779
2.0,-13.0,22.82387,18.996887,6.533188,12.333864
2.0,-12.0,23.333899,19.390991,6.340318,11.854676
2.0,-11.0,23.761993,19.466278,6.136991,11.371847
2.0,-10.0,24.217056,20.476715,5.9501057,10.802746
2.0,-9.0,24.63388,20.948486,5.7696686,10.216777
2.0,-8.0,25.011171,21.138977,5.6181197,9.72747
2.0,-7.0,25.362797,21.3172,5.5013657,9.684593
2.0,-6.0,25.640644,21.561707,5.40934,9.460937
2.0,-5.0,25.813902,21.728607,5.310925,9.107803
